Package Manager,PyPI,Gradle,Basalt,opam,RubyGems,npm,Go,Rust,Dart,Apache Maven,Maven Central
"What language/ecosystem is this package manager for? (i.e. golang, C, rust, etc.)",Python,JVM/Gradle plugin portal,Bash,OCaml,Ruby,JavaScript,Go,Rust,Dart,Java,"Java primarily but really any language the targets the JVM (scala, Kotlin, clojure)"
"What does your broader ecosystem look like? List of repositories, list of package managers, source control, etc.","Canonical repository is pypi.org, many third-party private repositories. Canonical package manager is pip, many third-party package managers as well. Source control is primarily GitHub.","There are largely 3 package managers (Ivy, Gradle, Maven) that mostly interoperate. There is effectively one central repository, but most organizations run their own mirror internally","The ecosystem is relatively small compared to package managers for more popular languages. There are several libraries for dealing with objects, argument parsing, parsing JSON, dealing with ANSII escapes,  and a ""core"" library for functions that help overcome limitations inherit with Bash. There are apps that range from task runners to programming language version managers (like rvm/nvm/pyenv, etc.). A full list can be found at: https://github.com/hyperupcall/awesome-basalt","GitHub Organisations: https://github.com/ocaml (includes the OCaml compiler, and the opam package manager and the primary community package repository) and https://github.com/ocaml-opam (respositories related to opam, and the repository infrastructure).

opam supports multiple package repositories, and some ecosystems maintain their own separate repositories, but the main package repository at https://github.com/ocaml/opam-repository is primary place OCaml libraries are published. Tools written in OCaml can also be published to the package repository. Submissions to opam-repository are gated only with testing to ensure package submissions do not break existing packages.

opam integrates with other package managers (principally operating system package managers - apt, dnf, brew, etc.) to install external dependencies.",RubyGems is the main mechanism for dependency distribution. Rubygems.org is the main repo. Source control is typically git.,"Large ecosystem. Multiple packages managers (yarn, pnpm). Mostly git.","According to deps.dev, there are 886K Go modules. Go is a federated ecosystem that allows package owners to host on any origin server they like; many use Github. Go packages are referenced by their package path, which is a URL like ""github.com/pkg/errors"". The ""go"" command fetches packages, builds, and tests them; by default, it fetches via our module proxy, proxy.golang.org. Our proxy accelerates downloads, improves availability, and authenticates contents using our cryptographic log at sumdb.golang.org.",,"Package manager (source code): https://github.com/dart-lang/pub
Package repository (source code): https://github.com/dart-lang/pub-dev
Package repository (website): https://pub.dev/
Package manifest documentation (website): https://dart.dev/tools/pub/pubspec","https://maven.apache.org/repositories/index.html , and other build tools reused the repositories that were created with the Maven2 format",Official repository is Maven Central (https://repo.maven.apache.org); Documentation primarily on https://central.sonatype.org; infrastructure status on https://status.maven.org
What is your name? (optional),Dustin Ingram,Sterling greene,Edwin Kofler,David Allsopp,Jacques Chester,Myles Borins,Sameer Ajmani,Jacob | Eh2406,Jonas Finnemann Jensen,Hervé Boutemy,
What is your role for this package manager?,Maintainer,Maintainer,Maintainer,Maintainer,I am an interested third party who works with maintainers. (I'm told I am a big RubyGems friend),Maintainer,"Engineering Director, Go language team",Maintainer,Maintainer,Maintainer,Engineering Manager for Sonatype's Maven Central team
Is there a way for developers to sign their packages?,"Yes, using developer own keys","Yes, using developer own keys","No, but interested in exploring","Yes, other (fill in below), Package signing via Conex (which is based TUF) is available, but is not deployed on the main repository (yet).","Yes, using developer own keys","No, but planned","Yes, other (fill in below), See https://transparency.dev/application/add-tamper-checking-to-a-package-manager/","No, but interested in exploring","No, but interested in exploring","Yes, using developer own keys","Yes, using developer own keys"
Is there an ability to verify signature data offline?,Yes,Yes,"No, but interested in exploring",Yes,Yes,"No, but planned",Yes,"No, but interested in exploring","No, but interested in exploring",Yes,Yes
"Is so, what are supported signature types?",PGP,PGP,,RSA-PSS-SHA256,x509 certs,fulcio/sigstore,See https://transparency.dev/application/add-tamper-checking-to-a-package-manager/,,,PGP,PGP
Is there support for reproducible builds and build systems?,"No, but interested in exploring","Yes, optional","No, and no plans on implementing","Yes, optional","Yes, optional","No, but interested in exploring","Yes, optional","Yes, optional","No, but interested in exploring","Yes, optional","Yes, mandatory"
Is there a way to prevent typosquatting?,"No, but interested in exploring","Yes, using DNS based package names, Before ~2018, we did not try to prevent typosquatting or dependency confusion.","No, and no plans on implementing","No, but interested in exploring, No plans at this time - repository is manually curated at present","RubyGems does not have inbuilt typosquatting protection, but the rubygems.org repo has some typosquatting detection","Yes, partially for official / popular packages",Not relevant - we are a pull proxy and everything is DNS based. We don't manage a namespace.,"No, but part of Terms of Service","Yes, other (fill in below), We have a few rules to prevent similar package names, though these probably have some flaws.","Yes, using DNS based package names","Yes, using DNS based package names"
Is namespacing or packages so that an entire namespace be managed by an organization allowed?,"No, but planned","Yes, other (fill in below), Not an organization, but only a single account is allowed to publish to a namespace","Yes, other (fill in below), Yes, through GitHub organizations or user-accounts. All packages are published this way.","No, but interested in exploring","No, but interested in exploring","Yes, but it is optional","Yes, implicitly through DNS/Source Control","No, but planned","No, and no plans on implementing","Yes, implicitly through DNS/Source Control","Yes, and enforced"
